id,time,dominance,pos,pos1,pos2,neg,neg1,neg2,f_p1,f_p2,hp1,hp2
0,13:52:23,-1,2,0,2,2,2,0,1,-1,0,-367
1,13:52:24,-1,3,0,3,2,2,0,1,-1,0,-367
2,13:52:25,-1,3,0,3,2,2,0,1,-1,0,-367
3,13:52:26,-1,3,0,3,3,3,0,1,-1,0,-367
4,13:52:27,-1,3,0,3,3,3,0,1,-1,0,-367
5,13:52:28,-1,4,0,4,3,3,0,1,-1,0,-367
6,13:52:29,-1,3,0,3,3,3,0,1,-1,0,-367
7,13:52:30,-1,3,0,3,4,4,0,1,-1,0,-367
8,13:52:31,-1,3,0,3,3,3,0,1,-1,0,-367
9,13:52:32,-1,4,0,4,3,3,0,1,-1,0,-367
10,13:52:33,-1,3,0,3,3,3,0,1,-1,0,-367
11,13:52:34,-1,3,0,3,4,4,0,1,-1,0,-367
12,13:52:35,-1,3,0,3,4,4,0,1,-1,0,-367
13,13:52:36,-1,4,0,4,4,4,0,1,-1,0,-367
14,13:52:37,-1,4,0,4,3,3,0,1,-1,0,-367
15,13:52:38,-1,4,0,4,4,4,0,1,-1,0,-367
16,13:52:39,-1,3,0,3,4,4,0,1,-1,0,-367
17,13:52:40,-1,4,0,4,4,4,0,1,-1,0,-367
18,13:52:41,-1,4,0,4,3,3,0,1,-1,0,-367
19,13:52:42,-1,4,0,4,4,4,0,1,-1,0,-367
20,13:52:43,-1,3,0,3,4,4,0,1,-1,0,-367
21,13:52:44,-1,4,0,4,4,4,0,1,-1,0,-367
22,13:52:45,-1,4,0,4,3,3,0,1,-1,0,-367
23,13:52:46,-1,4,0,4,4,4,0,1,-1,0,-367
24,13:52:47,-1,3,0,3,4,4,0,1,-1,0,-367
25,13:52:48,-1,4,0,4,4,4,0,1,-1,0,-367
26,13:52:49,-1,4,0,4,3,3,0,1,-1,0,-367
27,13:52:50,-1,4,0,4,4,4,0,1,-1,0,-367
28,13:52:51,-1,3,0,3,4,4,0,1,-1,0,-367
29,13:52:52,-1,4,0,4,4,4,0,1,-1,0,-367
30,13:52:53,-1,4,0,4,3,3,0,1,-1,0,-367
31,13:52:54,-1,4,0,4,4,4,0,1,-1,0,-367
32,13:52:55,-1,3,0,3,4,4,0,1,-1,0,-367
33,13:52:56,-1,4,0,4,4,4,0,1,-1,0,-367
34,13:52:57,-1,4,0,4,3,3,0,1,-1,0,-367
35,13:52:58,-1,4,0,4,4,4,0,1,-1,0,-367
36,13:52:59,-1,3,0,3,4,4,0,1,-1,0,-367
37,13:53:00,-1,4,0,4,4,4,0,1,-1,0,-367
38,13:53:01,-1,4,0,4,3,3,0,1,-1,0,-367
39,13:53:02,-1,4,0,4,4,4,0,1,-1,0,-367
40,13:53:03,-1,3,0,3,4,4,0,1,-1,0,-367
41,13:53:04,-1,4,0,4,4,4,0,1,-1,0,-367
42,13:53:05,-1,4,0,4,3,3,0,1,-1,0,-367
43,13:53:06,-1,4,0,4,4,4,0,1,-1,0,-367
44,13:53:07,-1,3,0,3,4,4,0,1,-1,0,-367
45,13:53:08,-1,4,0,4,4,4,0,1,-1,0,-367
46,13:53:09,-1,4,0,4,3,3,0,1,-1,0,-367
47,13:53:10,-1,4,0,4,4,4,0,1,-1,0,-367
48,13:53:11,-1,3,0,3,4,4,0,1,-1,0,-367
49,13:53:12,-1,4,0,4,4,4,0,1,-1,0,-367
50,13:53:13,-1,4,0,4,3,3,0,1,-1,0,-367
51,13:53:14,-1,4,0,4,4,4,0,1,-1,0,-367
52,13:53:15,-1,3,0,3,4,4,0,1,-1,0,-367
53,13:53:16,-1,4,0,4,4,4,0,1,-1,0,-367
54,13:53:17,-1,4,0,4,3,3,0,1,-1,0,-367
55,13:53:18,-1,4,0,4,4,4,0,1,-1,0,-367
56,13:53:19,-1,3,0,3,4,4,0,1,-1,0,-367
57,13:53:20,-1,4,0,4,4,4,0,1,-1,0,-367
58,13:53:21,-1,4,0,4,3,3,0,1,-1,0,-367
59,13:53:22,-1,4,0,4,4,4,0,1,-1,0,-367
60,13:53:23,-1,3,0,3,4,4,0,1,-1,0,-367
61,13:53:24,-1,4,0,4,4,4,0,1,-1,0,-367
62,13:53:25,-1,4,0,4,3,3,0,1,-1,0,-367
63,13:53:26,-1,4,0,4,4,4,0,1,-1,0,-367
64,13:53:27,-1,3,0,3,4,4,0,1,-1,0,-367
65,13:53:28,-1,4,0,4,4,4,0,1,-1,0,-367
66,13:53:29,-1,4,0,4,3,3,0,1,-1,0,-367
67,13:53:30,-1,4,0,4,4,4,0,1,-1,0,-367
68,13:53:31,-1,3,0,3,4,4,0,1,-1,0,-367
69,13:53:32,-1,4,0,4,4,4,0,1,-1,0,-367
70,13:53:33,-1,4,0,4,3,3,0,1,-1,0,-367
71,13:53:34,-1,4,0,4,4,4,0,1,-1,0,-367
72,13:53:35,-1,3,0,3,4,4,0,1,-1,0,-367
73,13:53:36,-1,4,0,4,4,4,0,1,-1,0,-367
74,13:53:37,-1,4,0,4,3,3,0,1,-1,0,-367
75,13:53:38,-1,4,0,4,4,4,0,1,-1,0,-367
76,13:53:39,-1,3,0,3,4,4,0,1,-1,0,-367
77,13:53:40,-1,4,0,4,4,4,0,1,-1,0,-367
78,13:53:41,-1,4,0,4,3,3,0,1,-1,0,-367
79,13:53:42,-1,4,0,4,4,4,0,1,-1,0,-367
80,13:53:43,-1,3,0,3,4,4,0,1,-1,0,-367
81,13:53:44,-1,4,0,4,4,4,0,1,-1,0,-367
82,13:53:45,-1,4,0,4,3,3,0,1,-1,0,-367
83,13:53:46,-1,4,0,4,4,4,0,1,-1,0,-367
84,13:53:47,-1,3,0,3,4,4,0,1,-1,0,-367
85,13:53:48,-1,4,0,4,4,4,0,1,-1,0,-367
86,13:53:49,-1,4,0,4,3,3,0,1,-1,0,-367
87,13:53:50,-1,4,0,4,4,4,0,1,-1,0,-367
88,13:53:51,-1,3,0,3,4,4,0,1,-1,0,-367
89,13:53:52,-1,4,0,4,4,4,0,1,-1,0,-367
90,13:53:53,-1,4,0,4,3,3,0,1,-1,0,-367
91,13:53:54,-1,4,0,4,4,4,0,1,-1,0,-367
92,13:53:55,-1,3,0,3,4,4,0,1,-1,0,-367
93,13:53:56,-1,4,0,4,4,4,0,1,-1,0,-367
94,13:53:57,-1,4,0,4,3,3,0,1,-1,0,-367
95,13:53:58,-1,4,0,4,4,4,0,1,-1,0,-367
96,13:53:59,-1,3,0,3,4,4,0,1,-1,0,-367
97,13:54:00,-1,4,0,4,4,4,0,1,-1,0,-367
98,13:54:01,-1,4,0,4,3,3,0,1,-1,0,-367
99,13:54:02,-1,4,0,4,4,4,0,1,-1,0,-367
100,13:54:03,-1,3,0,3,4,4,0,1,-1,0,-367
101,13:54:04,-1,4,0,4,4,4,0,1,-1,0,-367
102,13:54:05,-1,4,0,4,3,3,0,1,-1,0,-367
103,13:54:06,-1,4,0,4,4,4,0,1,-1,0,-367
104,13:54:07,-1,3,0,3,4,4,0,1,-1,0,-367
105,13:54:08,-1,4,0,4,4,4,0,1,-1,0,-367
106,13:54:09,-1,4,0,4,3,3,0,1,-1,0,-367
107,13:54:10,-1,4,0,4,4,4,0,1,-1,0,-367
108,13:54:11,-1,3,0,3,4,4,0,1,-1,0,-367
109,13:54:12,-1,4,0,4,4,4,0,1,-1,0,-367
110,13:54:13,-1,4,0,4,3,3,0,1,-1,0,-367
111,13:54:14,-1,4,0,4,4,4,0,1,-1,0,-367
112,13:54:15,-1,3,0,3,4,4,0,1,-1,0,-367
113,13:54:16,-1,4,0,4,4,4,0,1,-1,0,-367
114,13:54:17,-1,4,0,4,3,3,0,1,-1,0,-367
115,13:54:18,-1,4,0,4,4,4,0,1,-1,0,-367
116,13:54:19,-1,3,0,3,4,4,0,1,-1,0,-367
117,13:54:20,-1,4,0,4,4,4,0,1,-1,0,-367
118,13:54:21,-1,4,0,4,3,3,0,1,-1,0,-367
119,13:54:22,-1,4,0,4,4,4,0,1,-1,0,-367
120,13:54:23,-1,3,0,3,4,4,0,1,-1,0,-367
121,13:54:24,-1,4,0,4,4,4,0,1,-1,0,-367
122,13:54:25,-1,4,0,4,3,3,0,1,-1,0,-367
123,13:54:26,-1,4,0,4,4,4,0,1,-1,0,-367
124,13:54:27,-1,3,0,3,4,4,0,1,-1,0,-367
125,13:54:28,-1,4,0,4,3,3,0,1,-1,0,-367
126,13:54:29,-1,4,0,4,3,3,0,1,-1,0,-367
127,13:54:30,-1,3,0,3,4,4,0,1,-1,0,-367
128,13:54:31,-1,3,0,3,4,4,0,1,-1,0,-367
129,13:54:32,-1,4,0,4,3,3,0,1,-1,0,-367
130,13:54:33,-1,4,0,4,4,4,0,1,-1,0,-367
131,13:54:34,-1,3,0,3,4,4,0,1,-1,0,-367
132,13:54:35,-1,3,0,3,4,4,0,1,-1,0,-367
133,13:54:36,-1,4,0,4,3,3,0,1,-1,0,-367
134,13:54:37,-1,4,0,4,4,4,0,1,-1,0,-367
135,13:54:38,-1,3,0,3,4,4,0,1,-1,0,-367
136,13:54:39,-1,4,0,4,4,4,0,1,-1,0,-367
137,13:54:40,-1,4,0,4,3,3,0,1,-1,0,-367
138,13:54:41,-1,4,0,4,4,4,0,1,-1,0,-367
139,13:54:42,-1,3,0,3,4,4,0,1,-1,0,-367
140,13:54:43,-1,4,0,4,4,4,0,1,-1,0,-367
141,13:54:44,-1,4,0,4,3,3,0,1,-1,0,-367
