id,time,user,msg
588,17:42:08,thanapatodyssey,hi
595,17:42:14,moszamos098,hi
606,17:42:25,mrforzechy,hi
618,17:42:37,moszamos098,1 fight
621,17:42:41,moszamos098,1 go
623,17:42:43,boatmessi02,1 fight
624,17:42:43,moszamos098,2 bo
624,17:42:43,thanapatodyssey,1 fighting
624,17:42:44,mrforzechy,1 fighto
625,17:42:45,moszamos098,2
628,17:42:47,moszamos098,2 ---
630,17:42:50,thanapatodyssey,2 noob
631,17:42:50,moszamos098,2 ez
631,17:42:51,jamessgle,1 fight
633,17:42:52,moszamos098,2 kak
635,17:42:55,jamessgle,2 gg
636,17:42:56,thanapatodyssey,1 fighting
638,17:42:57,mrforzechy,1 finish him
638,17:42:57,moszamos098,2 kajok
641,17:43:00,moszamos098,2 ezgame
641,17:43:00,jamessgle,1 go
643,17:43:03,moszamos098,2 bobo
644,17:43:04,nineria_nananai,1 goo
646,17:43:05,jamessgle,1 let go
646,17:43:06,moszamos098,2 ez lose
649,17:43:08,moszamos098,2 gg
649,17:43:09,nineria_nananai,3 lost
654,17:43:14,nineria_nananai,2 gg
654,17:43:14,jamessgle,1 go
656,17:43:16,moszamos098,2 322
657,17:43:17,nineria_nananai,1 let's goo
657,17:43:17,mrforzechy,1 win!
659,17:43:19,nineria_nananai,1 fight
660,17:43:19,moszamos098,2 noob
660,17:43:20,jamessgle,2 ggez
661,17:43:21,nineria_nananai,1 cool
664,17:43:24,jamessgle,2 noob
664,17:43:24,nineria_nananai,1 gg
664,17:43:24,mrforzechy,1 let's go
665,17:43:25,boatmessi02,2 gg ez
665,17:43:25,moszamos098,2 noob322
671,17:43:31,seazagamer,1 2 3 4 5
671,17:43:31,moszamos098,2 bo bo
672,17:43:32,nineria_nananai,2 loser
672,17:43:32,mrforzechy,2 give up P2 !
673,17:43:33,jamessgle,2 noob ez
673,17:43:33,moszamos098,2 noob
678,17:43:38,tonguip2020,1 cool
678,17:43:38,nineria_nananai,2 bruh
679,17:43:39,moszamos098,2 ezg ame
681,17:43:41,jamessgle,1 fight
681,17:43:41,moszamos098,2 bobo
682,17:43:42,seazagamer,1 2 3 4 5 I HEAR TOO
683,17:43:43,moszamos098,2 322
683,17:43:43,jamessgle,1 go
684,17:43:44,mrforzechy,1 attack!
685,17:43:45,jamessgle,1 win
686,17:43:46,moszamos098,2 322player
687,17:43:47,tonguip2020,2 noo
689,17:43:49,tonguip2020,2 no
689,17:43:49,thanapatodyssey,1 fighting
691,17:43:50,moszamos098,2 kak
691,17:43:51,l3lackmegas,1 Fighting
693,17:43:53,thanapatodyssey,2 die
693,17:43:53,moszamos098,2 kajok
694,17:43:54,mrforzechy,1 dodge it!
697,17:43:57,tonguip2020,1 To win it all!
697,17:43:57,thanapatodyssey,1 fighting
698,17:43:58,moszamos098,2 bobo
699,17:43:59,thanapatodyssey,2 die
700,17:44:00,nineria_nananai,1 fight
700,17:44:00,jamessgle,2 fuck
701,17:44:01,tonguip2020,1 win
702,17:44:02,mrforzechy,1 kick!
703,17:44:03,jamessgle,2 ez
703,17:44:03,moszamos098,2 322 ez lose
703,17:44:03,seazagamer,2 bobo
703,17:44:03,nineria_nananai,2 lost
705,17:44:05,jamessgle,2 noob
706,17:44:06,thanapatodyssey,1 fighting
706,17:44:06,moszamos098,2 322 gammer
707,17:44:07,thanapatodyssey,2 die
708,17:44:08,jamessgle,1 win
708,17:44:08,tonguip2020,1 winn
708,17:44:08,seazagamer,2 pu tang denamo
708,17:44:08,nineria_nananai,2 bruh
709,17:44:09,moszamos098,2 322 ai
711,17:44:11,thanapatodyssey,1 fighting
711,17:44:11,l3lackmegas,1 stronger than 2
711,17:44:11,jamessgle,1 good game
712,17:44:12,tonguip2020,1 win
712,17:44:12,thanapatodyssey,2 die
713,17:44:13,nineria_nananai,2 nerf
715,17:44:15,jamessgle,1 fight
716,17:44:16,moszamos098,2 kak
717,17:44:17,thanapatodyssey,1 fightin
718,17:44:19,jamessgle,1 go
719,17:44:19,tonguip2020,1 good
720,17:44:20,l3lackmegas,2 good boy
720,17:44:20,moszamos098,2 kak jing
720,17:44:20,seazagamer,1 BUFF x2 Attack
721,17:44:21,jamessgle,1 good
721,17:44:21,nineria_nananai,1 fight
721,17:44:21,thanapatodyssey,2 noob
722,17:44:22,moszamos098,2 loser
722,17:44:23,tonguip2020,1 go go
723,17:44:23,thanapatodyssey,2 die
725,17:44:25,tonguip2020,2 no
725,17:44:25,thanapatodyssey,2 loser
725,17:44:26,jamessgle,1 win
728,17:44:28,tonguip2020,2 noo
728,17:44:29,moszamos098,2 bobo
729,17:44:29,jamessgle,1 wow
729,17:44:29,seazagamer,1 BUFF 10x Defense
730,17:44:30,nineria_nananai,1 Atack++
730,17:44:30,moszamos098,2 lose
731,17:44:32,thanapatodyssey,1 wow
732,17:44:32,tonguip2020,2 no no
734,17:44:34,boatmessi02,1 go go
734,17:44:35,jamessgle,1 good
735,17:44:35,thanapatodyssey,1 win
736,17:44:36,seazagamer,1 BUFF 5x Speed
736,17:44:36,moszamos098,2 -defense 110000000000
738,17:44:38,mrforzechy,1 Attack!
739,17:44:39,thanapatodyssey,2 die
740,17:44:40,jamessgle,1 fight
741,17:44:41,nineria_nananai,1 atk++
741,17:44:41,thanapatodyssey,2 loser
742,17:44:42,tonguip2020,1 Never give up
742,17:44:43,moszamos098,2 die
743,17:44:43,thanapatodyssey,1 win
744,17:44:44,nineria_nananai,2 --hp
746,17:44:46,moszamos098,2 ez lose
746,17:44:46,nineria_nananai,2hp--
748,17:44:48,moszamos098,2 --hp
748,17:44:48,seazagamer,1 Trans-am
750,17:44:50,mrforzechy,1 shoot!
751,17:44:51,jamessgle,2 ez
752,17:44:52,moszamos098,2 ----
753,17:44:53,nineria_nananai,1 kick
754,17:44:55,nineria_nananai,2 --
755,17:44:55,seazagamer,1 Alaya-Vijnana
756,17:44:56,moszamos098,2 don't fight
756,17:44:56,mrforzechy,1 play it!
756,17:44:57,tonguip2020,2 lose
759,17:45:00,boatmessi02,1 kick
760,17:45:00,moszamos098,2 ka jok
760,17:45:01,nineria_nananai,1 let's go
760,17:45:01,tonguip2020,1 go go
762,17:45:02,moszamos098,2 kak
764,17:45:04,moszamos098,2 putung
